n_ac_risk_impacts,project_name,n_risks,n_mitigations_per_risk,n_mitigations,n_ac_impacts_per_risk,project_id,n_activities,n_penalties,A-total-investment,B-total-investment,C-total-investment,D-total-investment,activities_impact_cost,algorithm,algorithm_gap,algorithm_lb,baseline_cost,best_sol_iter,best_sol_time,crashing_cost,execution_master,execution_separation,execution_time,gap,investment_level,investment_limit,mitigations_cost,n_crashing_activities,n_iterations,n_materialized_risks,n_mitigations,penalties_cost,project,topology,total_cost,total_investment,unc_budget,unc_budget_level,uncertainty_cost
36,SP-psplib_j1643_6.mm-psplib_j1663_1.mm-psplib_j1654_5.mm-psplib_j1616_4.mm,12,1.0,12,3.0,SP,64,4,94.0,35.0,75.0,47.0,171.0,Min-Max,1.49492766463e-14,943.0,497.0,30,50.1139788628,72.0,138.388175249,5.7885248661,150.740261078,0.0,100%,827.0,179.0,8,50,8,8,24.0,SP-psplib_j1643_6.mm-psplib_j1663_1.mm-psplib_j1654_5.mm-psplib_j1616_4.mm,Diamond,943.0,251.0,619.2,60%,581.0
36,SP-psplib_j1641_3.mm-psplib_j1614_1.mm-psplib_j1625_7.mm-psplib_j1660_2.mm,12,1.0,12,3.0,SP,64,4,104.0,32.0,35.0,60.0,200.0,Min-Max,0.0,956.0,518.0,68,253.288232088,74.0,246.125376701,8.35712981224,254.557001114,0.0,100%,866.0,157.0,10,69,9,5,7.0,SP-psplib_j1641_3.mm-psplib_j1614_1.mm-psplib_j1625_7.mm-psplib_j1660_2.mm,Diamond,956.0,231.0,617.4,60%,612.0
36,SP-psplib_j1658_10.mm-psplib_j1661_7.mm-psplib_j1637_10.mm-psplib_j1630_7.mm,12,1.0,12,3.0,SP,64,4,200.0,113.0,43.0,31.0,230.0,Min-Max,0.0,1103.0,486.0,81,462.803743839,122.0,455.195622683,8.77941513062,464.05200696,0.0,100%,838.0,265.0,14,82,8,8,0,SP-psplib_j1658_10.mm-psplib_j1661_7.mm-psplib_j1637_10.mm-psplib_j1630_7.mm,Diamond,1103.0,387.0,595.2,60%,549.0
36,SP-psplib_j1623_10.mm-psplib_j1628_9.mm-psplib_j1643_6.mm-psplib_j1657_8.mm,12,1.0,12,3.0,SP,64,4,104.0,62.0,66.0,65.0,105.0,Min-Max,0.0,919.0,517.0,28,51.2245588303,50.0,76.5785303116,3.34703969955,83.8753819466,0.0,100%,832.0,247.0,6,36,8,10,0,SP-psplib_j1623_10.mm-psplib_j1628_9.mm-psplib_j1643_6.mm-psplib_j1657_8.mm,Diamond,919.0,297.0,614.4,60%,611.0
36,SP-psplib_j1640_1.mm-psplib_j1628_8.mm-psplib_j1663_7.mm-psplib_j1652_10.mm,12,1.0,12,3.0,SP,64,4,123.0,79.0,22.0,89.0,131.0,Min-Max,0.0,970.0,505.0,52,153.030539036,122.0,145.160111904,8.80062842369,154.029511213,0.0,100%,739.0,191.0,16,53,8,9,21.0,SP-psplib_j1640_1.mm-psplib_j1628_8.mm-psplib_j1663_7.mm-psplib_j1652_10.mm,Diamond,970.0,313.0,608.4,60%,573.0
36,SP-psplib_j1654_9.mm-psplib_j1623_4.mm-psplib_j1655_8.mm-psplib_j1628_7.mm,12,1.0,12,3.0,SP,64,4,80.0,15.0,22.0,0.0,164.0,Min-Max,0.0,790.0,496.0,48,91.2791080475,37.0,443.041924238,11.3434197903,464.877909184,0.0,100%,723.0,80.0,5,99,8,5,13.0,SP-psplib_j1654_9.mm-psplib_j1623_4.mm-psplib_j1655_8.mm-psplib_j1628_7.mm,Diamond,790.0,117.0,621.0,60%,590.0
36,SP-psplib_j1645_10.mm-psplib_j1625_3.mm-psplib_j1644_3.mm-psplib_j1642_3.mm,12,1.0,12,3.0,SP,64,4,141.0,75.0,50.0,80.0,168.0,Min-Max,0.0,1101.0,521.0,28,51.9006400108,134.0,47.4070186615,4.92275285721,52.3945538998,0.0,100%,806.0,212.0,16,29,7,7,66.0,SP-psplib_j1645_10.mm-psplib_j1625_3.mm-psplib_j1644_3.mm-psplib_j1642_3.mm,Diamond,1101.0,346.0,647.4,60%,624.0
36,SP-psplib_j1638_1.mm-psplib_j1652_9.mm-psplib_j1657_1.mm-psplib_j1618_9.mm,12,1.0,12,3.0,SP,64,4,114.0,99.0,82.0,51.0,225.0,Min-Max,0.0,1099.0,507.0,18,25.7213220596,128.0,56.6865437031,3.89775776863,65.1673741341,0.0,100%,868.0,218.0,14,27,8,10,21.0,SP-psplib_j1638_1.mm-psplib_j1652_9.mm-psplib_j1657_1.mm-psplib_j1618_9.mm,Diamond,1099.0,346.0,596.4,60%,545.0
36,SP-psplib_j1612_1.mm-psplib_j1650_3.mm-psplib_j1657_5.mm-psplib_j1644_4.mm,12,1.0,12,3.0,SP,64,4,128.0,32.0,101.0,86.0,133.0,Min-Max,0.0,1012.0,532.0,32,93.1337659359,88.0,90.3227832317,3.24836206436,93.632327795,0.0,100%,807.0,259.0,11,33,7,11,0,SP-psplib_j1612_1.mm-psplib_j1650_3.mm-psplib_j1657_5.mm-psplib_j1644_4.mm,Diamond,1012.0,347.0,604.2,60%,553.0
36,SP-psplib_j203_5.mm-psplib_j2028_8.mm-psplib_j2019_8.mm-psplib_j2046_4.mm,12,1.0,12,3.0,SP,80,4,55.0,31.0,43.0,28.0,145.0,Min-Max,0.00862998921251,927.0,633.0,55,436.165591955,76.0,3601.79173207,23.8998646736,3625.79629588,0.0,100%,805.0,81.0,9,123,8,6,0,SP-psplib_j203_5.mm-psplib_j2028_8.mm-psplib_j2019_8.mm-psplib_j2046_4.mm,Diamond,935.0,157.0,645.6,60%,607.0
